"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "SCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\allfontsPage\allFontsPage.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\favoritesPage\favoritesPage.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\page.module.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\pages.module.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\settingsPage\settingsPage.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\variablePage\variablePage.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\welcome\welcome.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 1, 8, 109
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\pages\welcome\welcome.module.scss", "SCSS", 0, 0, 0, 171, 0, 0, 0, 2, 18, 191
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\store\store.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 8456, 122, 1881, 1678, 7, 79, 13, 131, 433, 12800
